"product_category_name","ranking","seller_id","seller_city","seller_state","total_ordenes","precio_promedio","costo_envio_promedio"
malas_acessorios,9,"3f3486b61f45078d4f31ee5e43d8c5bb",sao paulo,SP,29,71.03,20.07
malas_acessorios,10,d1b65fc7debc3361ea86b5f14c68d2e2,mogi guacu,SP,27,318.36,42.88
market_place,1,aae3bfea055532c57fb453ed3ec80b30,santo andre,SP,48,61.16,15.98
market_place,2,"6039e27294dc75811c0d8a39069f52c0",osasco,SP,23,111.5,22.06
market_place,3,"7d456afc660226829370f3173d14520c",mogi das cruzes,SP,23,91.51,14.99
market_place,4,"1bb2bdb95f4841f1bba2c0d2cd83d3c9",sao paulo,SP,21,26.8,13.48
moveis_colchao_e_estofado,1,"00ee68308b45bc5e2660cd833c3f81cc",sao paulo,SP,22,84.55,42.22
moveis_cozinha_area_de_servico_jantar_e_jardim,1,f80edd2c5aaa505cc4b0a3b219abf4b8,sao paulo,SP,58,56.09,22.11
moveis_decoracao,1,"1025f0e2d44d7041d6cf58b6550e0bfa",sao paulo,SP,790,86.32,22.1
moveis_decoracao,2,cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,453,66.35,16.23
moveis_decoracao,3,"955fee9216a65b617aa5c0531780ce60",sao paulo,SP,439,72.65,13.74
moveis_decoracao,4,"77530e9772f57a62c906e1c21538ab82",curitiba,PR,315,121.5,21.82
moveis_decoracao,5,"391fc6631aebcf3004804e51b40bcf1e",ibitinga,SP,269,76.58,17.81
moveis_decoracao,6,"0241d4d5d36f10f80c644447315af0bd",curitiba,PR,238,127.63,27.86
moveis_decoracao,7,"79ebd9a61bac3eaf882805ed4ecfa12a",cascavel,PR,136,105.54,28.06
moveis_decoracao,8,"1554a68530182680ad5c8b042c3ab563",monte siao,MG,121,59.99,19.47
moveis_decoracao,9,"6edacfd9f9074789dad6d62ba7950b9c",guarulhos,SP,118,69.11,13.9
moveis_decoracao,10,"5a8e7d5003a1f221f9e1d6e411de7c23",campinas,SP,117,62.58,15.38
moveis_escritorio,1,"7c67e1448b00f6e969d365cea6b010ab",itaquaquecetuba,SP,891,140.28,37.82
moveis_escritorio,2,"17a053fcb14bd219540cbde0df490be0",mogi guacu,SP,121,269.05,59.18
moveis_escritorio,3,a7f13822ceb966b076af67121f87b063,itaquaquecetuba,SP,69,143.66,35.04
moveis_escritorio,4,"5058e8c1e82653974541e83690655b4a",itaquaquecetuba,SP,46,149.31,43.73
moveis_escritorio,5,b8555308bfdb4ca1ed54325a58da9a97,sao bernardo do campo,SP,26,108.83,20.82
moveis_quarto,1,"3ade81dab5a172b88e1871c28ae05260",sao jose do rio preto,SP,27,179.81,47.36
moveis_sala,1,"1554a68530182680ad5c8b042c3ab563",monte siao,MG,89,206.51,37.28
moveis_sala,2,"701938c450705b8ae65fc923b70f35c7",s jose do rio preto,SP,70,106.99,33.75
moveis_sala,3,"8b9d6eec4a7eb7d0f9d579ce0b38324d",mesquita,RJ,48,80.05,32.05
moveis_sala,4,"870d0118f7a9d85960f29ad89d5d989a",pocos de caldas,MG,37,42.35,21.43
papelaria,1,"3d871de0142ce09b7081e2b9d1733cb1",campo limpo paulista,SP,792,96.08,20.86
papelaria,2,"2c9e548be18521d1c43cde1c582c6de8",mogi das cruzes,SP,97,29.58,14.11
papelaria,3,b2ba3715d723d245138f291a6fe42594,sao paulo,SP,88,163.65,17.75
