"product_category_name","ranking","seller_id","seller_state","ordenes_vendedor","precio_promedio_vendedor","porcentaje_demanda"
malas_acessorios,3,"6cd68b3ed6d59aaa9fece558ad360c0a",MG,96,80.99,9.28
malas_acessorios,4,"7ddcbb64b5bc1ef36ca8c151f6ec77df",SP,36,242.71,3.48
malas_acessorios,5,f262cbc1c910c83959f849465454ddd3,SP,34,41.02,3.29
market_place,1,aae3bfea055532c57fb453ed3ec80b30,SP,48,61.16,17.14
market_place,2,"6039e27294dc75811c0d8a39069f52c0",SP,23,111.5,8.21
market_place,3,"7d456afc660226829370f3173d14520c",SP,23,91.51,8.21
market_place,4,"1bb2bdb95f4841f1bba2c0d2cd83d3c9",SP,21,26.8,7.5
market_place,5,aafe36600ce604f205b86b5084d3d767,SC,20,60.55,7.14
moveis_colchao_e_estofado,1,"00ee68308b45bc5e2660cd833c3f81cc",SP,22,84.55,57.89
moveis_colchao_e_estofado,2,f84a00e60c73a49e7e851c9bdca3a5bb,RJ,10,83.12,26.32
moveis_colchao_e_estofado,3,"191d55f7edb8524d525ed01b20fe32e8",DF,3,249.0,7.89
moveis_colchao_e_estofado,4,"11305281b50fff20ae8bb473f8e11876",MG,2,399.99,5.26
moveis_colchao_e_estofado,5,"0be8ff43f22e456b4e0371b2245e4d01",SP,1,129.9,2.63
moveis_cozinha_area_de_servico_jantar_e_jardim,1,f80edd2c5aaa505cc4b0a3b219abf4b8,SP,58,56.09,23.39
moveis_cozinha_area_de_servico_jantar_e_jardim,2,b32be1695eb7ec5f10f72d9610a12527,RS,20,339.43,8.06
moveis_cozinha_area_de_servico_jantar_e_jardim,3,"6c7d50c24b3ccd2fd83b44d8bb34e073",SP,18,40.65,7.26
moveis_cozinha_area_de_servico_jantar_e_jardim,4,"07bf9669d84d1f11be443a9dd938f698",SP,16,74.18,6.45
moveis_cozinha_area_de_servico_jantar_e_jardim,5,"13074f016982ff2bd6c58ced8682f000",RS,11,147.33,4.44
moveis_decoracao,1,"1025f0e2d44d7041d6cf58b6550e0bfa",SP,790,86.32,12.25
moveis_decoracao,2,cca3071e3e9bb7d12640c9fbe2301306,SP,453,66.35,7.02
moveis_decoracao,3,"955fee9216a65b617aa5c0531780ce60",SP,439,72.65,6.81
moveis_decoracao,4,"77530e9772f57a62c906e1c21538ab82",PR,315,121.5,4.88
moveis_decoracao,5,"391fc6631aebcf3004804e51b40bcf1e",SP,269,76.58,4.17
moveis_escritorio,1,"7c67e1448b00f6e969d365cea6b010ab",SP,891,140.28,69.99
moveis_escritorio,2,"17a053fcb14bd219540cbde0df490be0",SP,121,269.05,9.51
moveis_escritorio,3,a7f13822ceb966b076af67121f87b063,SP,69,143.66,5.42
moveis_escritorio,4,"5058e8c1e82653974541e83690655b4a",SP,46,149.31,3.61
moveis_escritorio,5,b8555308bfdb4ca1ed54325a58da9a97,SP,26,108.83,2.04
moveis_quarto,1,"3ade81dab5a172b88e1871c28ae05260",SP,27,179.81,28.42
moveis_quarto,2,f181738b150df1f37cb0bd72e705b193,SP,9,214.11,9.47
moveis_quarto,3,"48efc9d94a9834137efd9ea76b065a38",PR,8,9.15,8.42
moveis_quarto,4,"5b0cc932433fa5184b5b94bfe6bcc256",SP,6,90.91,6.32
moveis_quarto,5,cb5df0dcb9e280b1780e9d589889f2c7,SP,6,135.37,6.32
moveis_sala,1,"1554a68530182680ad5c8b042c3ab563",MG,89,206.51,21.09
moveis_sala,2,"701938c450705b8ae65fc923b70f35c7",SP,70,106.99,16.59
moveis_sala,3,"8b9d6eec4a7eb7d0f9d579ce0b38324d",RJ,48,80.05,11.37
